Year, Month, Day, Time, Duration, Start (seconds since epoch), End (seconds since epoch)
2013, 7, 19, 9:40:0, 25:00, 1374219600, 1374221100
2013, 7, 19, 10:10:0, 25:00, 1374221400, 1374222900
2013, 7, 19, 10:40:0, 25:00, 1374223200, 1374224700
2013, 7, 19, 11:10:0, 25:00, 1374225000, 1374226500
2013, 7, 19, 11:50:0, 25:00, 1374227400, 1374228900
2013, 9, 5, 9:10:0, 25:00, 1378365000, 1378366500
2013, 9, 5, 9:40:0, 25:00, 1378366800, 1378368300
2013, 9, 5, 10:10:0, 25:00, 1378368600, 1378370100
2013, 9, 5, 10:40:0, 25:00, 1378370400, 1378371900
2013, 9, 5, 11:20:0, 25:00, 1378372800, 1378374300
2013, 9, 18, 13:41:00, 25:00, 1379504460, 1379505960
2013, 9, 18, 14:11:00, 25:00, 1379506260, 1379507760
2013, 9, 18, 17:14:57, 25:03, 1379517297, 1379518800
2013, 9, 18, 17:45:00, 25:00, 1379519100, 1379520600
2013, 9, 18, 18:15:01, 24:59, 1379520901, 1379522400
